tau,rank,node,package,version,B,R,priority_top_20pct
1.0,49,npm:mime@1.6.0,mime,1.6.0,0.0,0.0,False
1.0,50,npm:ms@2.0.0,ms,2.0.0,0.0,0.0,False
1.0,51,npm:ms@2.1.3,ms,2.1.3,0.0,0.0,False
1.0,52,npm:negotiator@0.6.3,negotiator,0.6.3,0.0,0.0,False
1.0,53,npm:object-inspect@1.13.4,object-inspect,1.13.4,0.0,0.0,False
1.0,54,npm:on-finished@2.4.1,on-finished,2.4.1,0.0,0.0,False
1.0,55,npm:parseurl@1.3.3,parseurl,1.3.3,0.0,0.0,False
1.0,56,npm:proxy-addr@2.0.8,proxy-addr,2.0.8,0.0,0.0,False
1.0,57,npm:range-parser@1.2.1,range-parser,1.2.1,0.0,0.0,False
1.0,58,npm:raw-body@2.5.1,raw-body,2.5.1,0.0,0.0,False
1.0,59,npm:safe-buffer@5.2.1,safe-buffer,5.2.1,0.0,0.0,False
1.0,60,npm:safer-buffer@2.1.2,safer-buffer,2.1.2,0.0,0.0,False
1.0,61,npm:setprototypeof@1.2.0,setprototypeof,1.2.0,0.0,0.0,False
1.0,62,npm:side-channel-list@1.0.1,side-channel-list,1.0.1,0.0,0.0,False
1.0,63,npm:side-channel-map@1.0.1,side-channel-map,1.0.1,0.0,0.0,False
1.0,64,npm:side-channel-weakmap@1.0.2,side-channel-weakmap,1.0.2,0.0,0.0,False
1.0,65,npm:side-channel@1.1.1,side-channel,1.1.1,0.0,0.0,False
1.0,66,npm:statuses@2.0.1,statuses,2.0.1,0.0,0.0,False
1.0,67,npm:toidentifier@1.0.1,toidentifier,1.0.1,0.0,0.0,False
1.0,68,npm:type-is@1.6.18,type-is,1.6.18,0.0,0.0,False
1.0,69,npm:unpipe@1.0.0,unpipe,1.0.0,0.0,0.0,False
1.0,70,npm:utils-merge@1.0.1,utils-merge,1.0.1,0.0,0.0,False
1.0,71,npm:vary@1.1.2,vary,1.1.2,0.0,0.0,False
