data_file,archive_member,declared_data_file,mapping_method,meter,channel,measurement_kind,measurement_semantics,voltage_response_eligible,unit,base_element,nominal_voltage,data_status,start_time,end_time,row_count,valid_count,missing_value_count,invalid_timestamp_count,duplicate_timestamp_count,out_of_order_timestamp_count,sampling_interval_seconds,expected_timestamp_count,missing_timestamp_count,timestamp_coverage_fraction,minimum,p05,mean,median,p95,maximum,standard_deviation,per_unit_status,mean_per_unit
egauge_15-CT1,magnitudes/egauge_15-CT1.csv,egauge_15-CT1,declared_data_file,egauge_15,CT1,current_magnitude,current_magnitude,False,A,line_387,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-CT2,magnitudes/egauge_15-CT2.csv,egauge_15-CT2,declared_data_file,egauge_15,CT2,current_magnitude,current_magnitude,False,A,line_387,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-CT3,magnitudes/egauge_15-CT3.csv,egauge_15-CT3,declared_data_file,egauge_15,CT3,current_magnitude,current_magnitude,False,A,line_387,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-CT4,magnitudes/egauge_15-CT4.csv,,unmapped,,,unmapped,unmapped,False,,,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-CT5,magnitudes/egauge_15-CT5.csv,,unmapped,,,unmapped,unmapped,False,,,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-CT6,magnitudes/egauge_15-CT6.csv,,unmapped,,,unmapped,unmapped,False,,,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-L1,magnitudes/egauge_15-L1.csv,egauge_15-L1,declared_data_file,egauge_15,L1,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1078,277.0,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-L2,magnitudes/egauge_15-L2.csv,egauge_15-L2,declared_data_file,egauge_15,L2,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1078,277.0,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-L3,magnitudes/egauge_15-L3.csv,egauge_15-L3,declared_data_file,egauge_15,L3,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1078,277.0,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-Mains_Power,magnitudes/egauge_15-Mains_Power.csv,egauge_15-Mains_Power,declared_data_file,egauge_15,Mains_Power,real_power,real_power,False,W,line_387,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_15-RP1_Power,magnitudes/egauge_15-RP1_Power.csv,,unmapped,,,unmapped,unmapped,False,,,,empty,,,0,0,0,0,0,0,,0,0,,,,,,,,,not_available_empty_channel,
egauge_16-CT1,magnitudes/egauge_16-CT1.csv,egauge_16-CT1,declared_data_file,egauge_16,CT1,current_magnitude,current_magnitude,False,A,line_402,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,9.353,14.607,96.60236637307439,71.959,275.634,300.297,80.636014597952,not_applicable,
