pct,trial,seed,spearman,top3_jaccard
0.1,159,41,0.9278195488721804,0.2
0.1,160,41,0.9172932330827066,0.2
0.1,161,41,0.956390977443609,0.5
0.1,162,41,0.9116209745850982,0.2
0.1,163,41,0.9420619672123172,0.5
0.1,164,41,0.9759398496240601,1.0
0.1,165,41,0.9639097744360902,0.5
0.1,166,41,0.9278195488721804,1.0
0.1,167,41,0.9356901752342097,1.0
0.1,168,41,0.9308270676691727,0.5
0.1,169,41,0.9714285714285714,0.5
0.1,170,41,0.9499812631196197,1.0
0.1,171,41,0.8943212366185493,0.5
0.1,172,41,0.9402031503559181,0.5
0.1,173,41,0.9417074753964876,0.5
0.1,174,41,0.9398496240601503,0.5
0.1,175,41,0.9473684210526315,1.0
0.1,176,41,0.9699248120300751,0.5
0.1,177,41,0.9804511278195487,0.5
0.1,178,41,0.9086123245039592,0.2
0.1,179,41,0.959759375883321,0.5
0.1,180,41,0.9067669172932331,0.2
0.1,181,41,0.9458646616541352,0.5
0.1,182,41,0.9402031503559181,0.5
0.1,183,41,0.9518796992481202,0.5
0.1,184,41,0.9432118004370571,0.5
0.1,185,41,0.9311772001125012,1.0
0.1,186,41,0.9473684210526315,0.5
0.1,187,41,0.9278195488721804,0.5
0.1,188,41,0.9473684210526315,0.2
0.1,189,41,0.9428571428571428,0.5
0.1,190,41,0.869499873449153,0.5
0.1,191,41,0.8980820492199729,0.5
0.1,192,41,0.9308270676691727,0.2
0.1,193,41,0.9383458646616539,0.5
0.1,194,41,0.9488721804511278,0.5
0.1,195,41,0.9443609022556391,0.5
0.1,196,41,0.9544942382413281,0.5
0.1,197,41,0.9248120300751879,0.2
0.1,198,41,0.9443609022556391,0.5
0.1,199,41,0.9022556390977443,0.2
0.1,200,41,0.9669172932330825,1.0
0.1,201,41,0.9191425997879455,0.5
0.1,202,41,0.9097744360902256,0.2
0.1,203,41,0.9383458646616539,0.2
0.1,204,41,0.9202410430516484,1.0
0.1,205,41,0.9642723510050296,0.5
0.1,206,41,0.8902255639097743,0.5
0.1,207,41,0.9383458646616539,0.2
0.1,208,41,0.9684210526315788,1.0
0.1,209,41,0.9413533834586465,0.5
0.1,210,41,0.9624060150375938,0.5
0.1,211,41,0.9368421052631578,0.5
0.1,212,41,0.9281685500313624,0.5
0.1,213,41,0.9172932330827066,0.2
0.1,214,41,0.9684210526315788,0.5
0.1,215,41,0.9669172932330825,1.0
0.1,216,41,0.8683222924624713,0.5
0.1,217,41,0.9518796992481202,0.5
0.1,218,41,0.9650245135253144,1.0
0.1,219,41,0.9665288385658837,1.0
0.1,220,41,0.9443609022556391,0.5
0.1,221,41,0.9221512498690845,0.5
0.1,222,41,0.8812030075187969,0.2
0.1,223,41,0.9669172932330825,1.0
0.1,224,41,0.8845431238548478,0.5
0.1,225,41,0.9624060150375938,0.5
0.1,226,41,0.9729323308270676,0.5
0.1,227,41,0.9206469248285151,0.5
0.1,228,41,0.9428571428571428,0.5
0.1,229,41,0.9507334256399045,0.5
0.1,230,41,0.9845807390527174,1.0
0.1,231,41,0.9488721804511278,0.5
0.1,232,41,0.9398496240601503,0.5
0.1,233,41,0.8872180451127819,0.5
0.1,234,41,0.9203007518796992,1.0
0.1,235,41,0.9263157894736842,0.5
0.1,236,41,0.9356901752342097,0.5
0.1,237,41,0.9548872180451128,0.5
0.1,238,41,0.8875517739359867,0.2
0.1,239,41,0.9413533834586465,0.5
0.1,240,41,0.9518796992481202,1.0
0.1,241,41,0.9473684210526315,0.5
0.1,242,41,0.9353383458646616,1.0
0.1,243,41,0.8935690740982646,0.5
0.1,244,41,0.9338345864661652,0.5
0.1,245,41,0.9221512498690845,0.5
0.1,246,41,0.9203007518796992,0.5
0.1,247,41,0.9695374886470227,0.5
0.1,248,41,0.9503759398496241,0.5
0.1,249,41,0.8992481203007519,0.5
0.1,250,41,0.9263157894736842,0.2
0.1,251,41,0.9278195488721804,0.5
0.1,252,41,0.9548872180451128,0.5
0.1,253,41,0.9398496240601503,0.5
0.1,254,41,0.9477247755587654,0.5
0.1,255,41,0.9233082706766916,0.5
0.1,256,41,0.9203007518796992,0.5
0.1,257,41,0.9669172932330825,1.0
0.1,258,41,0.9699248120300751,1.0
0.1,259,41,0.9590072133630366,0.5
